index,content,NER,time
243,@KyrkRTG Basically this means that you won't go to jail if you post a video with copyrighted content unless you're doing it for your profit People with Youtube partnerships will have to ask for copyright permission before posting videos like that again Also since Bieber didn't have a partnership when he was posting his old videos meaning no profit he won't be going to jail if it passes happy Beliebers?,,12 năm trước
244,Don't think they have enough room in the jails,,12 năm trước
245,So what if you're not from the US?,,13 năm trước
246,@ShadowNicke It's been denied and I don't think it's gonna be passed anytime,,12 năm trước
247,@RaptorLlama Those like TB who live out of America may be subject to arrest anyway as they are still subject to Youtube's Terms Of Service which will likely get updated if the law passes through,,13 năm trước
248,@ozzypozzy It will depend on where people make your movies as well as where they upload from,,12 năm trước
249,Too many prohibition laws already,,13 năm trước
250,@ShrapmaElite WHAT??!! The bill friggin' passed!! UGH!! I gotta do some more investigation,,13 năm trước
251,how can people be so selfish when they already make enough money they want more? to shut down other companys?,,12 năm trước
252,@madlysaws Actually the people vote Congressmen into office The President has no power there But I agree that the bill needs to be shut down,,13 năm trước
253,So this Bill just involves USA?,,13 năm trước
254,Its like a great depression for the internet if this fucking bill gets passed,,12 năm trước
255,This bill will do to YouTube what Facebook did to Myspace,,13 năm trước
256,It was shot down anyways right?,,12 năm trước
257,Ifwhy am I hold this????,,12 năm trước
258,thanks bro this really helped me write my research paper i am doing it about this bill so thank u for talking about it,,13 năm trước
259,this sir means war not againsed u but againsed congress,,13 năm trước
260,@moneshmahtani You can play game anywhere but you won't be able to upload them on youtube since youtube is located in united states,,13 năm trước
261,this guy is right most of the games i have i got them because i watched them on the playthroughs and gameplays,,13 năm trước
262,Don't sell drugs Don't steal and Don't lie You Know why? The Government doesn't like competition T oT,,12 năm trước
263,@GKgamerguy Because Congress will certainly listen to a bunch of teenagers signing an online petition,,13 năm trước
264,does this affect australia ?,,12 năm trước
265,if this bill passes machinima will have to move to South Korea!,,12 năm trước
266,It's a paying job so it's a job!,,12 năm trước
267,The only way I buy music is if I hear the full album on youtube if I do not like any of the songs I ONT BUY IT!! I am a canadian this will even effect me but then again I will start up my torrent browser now so thats what this bill is going to do for me it is going to make me not buy the albums GLHF record companies we are not alone D GLHF,,13 năm trước
268,@hrmarinkovic Think about it if the US one of the most influential countries in the world pass this it will encourage other governments to pass retarded bills like this I know that if this is passed England will definitely look at making laws like this,,13 năm trước
269,Wait they cant take it down the us dosnt own the internet therefore the vids cannot be legally taken down without the consent of every country in the world right?,,13 năm trước
270,Uhhhhhh I think the copyright thing covers enough But Sgt8 is really strict! At least the copyright thing gives you RIGHTS!,,12 năm trước
271,@teckademicee This provides absolutely no video samples of the games thoughand besides hearing normal gamers' reviews of games is refreshing as are Let's Plays This bill will destroy the entire community structure of gaming,,13 năm trước
272,I just heard it is going to be passed Goodbye youtube,,12 năm trước
273,I wouldn't doubt the RIAA and others are backing this up because they say they lose money from piracy and such But think about it You record a video of your vacation at Disneyland or someplace and somebodies son is playing his psp in the background your camera happens to catch a lil clip of it on your camera You upload it to youtube for the rest of the family and friends to see 2 weeks later you're behind bars WTF!!!,,12 năm trước
274,630 people dont know what the internet machinima or what anything said in this video is,,12 năm trước
275,@scrapperl28o well it been like 2 months did it pass?,,13 năm trước
276,@thatmaninblack I personally think that Hollywood and such are just throwing hissy fits because not as many people are buying it as much as they could be They want to make more money rather than let people enjoy the film and or music,,13 năm trước
277,So is this JUST America or world wide?,,12 năm trước
278,Is this world wide or just the USA?,,13 năm trước
279,if this bill gets signed i will go andjust go hell on the government,,13 năm trước
280,will this affect europe???????,,13 năm trước
281,and the rich get richer,,12 năm trước
282,we have to email our politicans,,13 năm trước
283,I dont want to lose Justin Beiber!,,13 năm trước
284,does it affect canada?,,13 năm trước
285,Machinima is going to be shut down too,,12 năm trước
286,bill sgt8 is going to hurl the USA into chaos,,12 năm trước
287,google which owns youtube now would never let anything of this crap happen mostly because google probably has the BEST lawyers in the country maybe even world this bill would end youtube and google would loose A LOT of money,,13 năm trước
288,No TV shows on youtube? I hope this doesnt get accepted because My WHOLE LIFE DEPENDS ON IT! This Bill Fit in? Really!?! No I'm serious This is ridiculous Make it stop! OH MAKE IT STOP! If you understand what im saying this could affect what im sayin so THIS BILL MUST BE STOPPED!,,12 năm trước
289,If this bill passed earlier atleast justin beiber wouldve never existed but if it passes now were screwed,,12 năm trước
290,Obama better do something about the Bill Sgt8 or he's not going to get my vote for the next election,,13 năm trước
291,did it pass yet please reply,,13 năm trước
292,If this bill passes im moving to the UK,,13 năm trước
293,Look on the bright sideno more Justin Beiber's,,12 năm trước
294,@TheLahness Almost all video sharing sites are in the USA Specifacally California Just naming some sites that are in the USA Youtube JustinTV Itunes Viddler And MANY more So it will effect about 90 of people,,13 năm trước
295,That website spams me D,,13 năm trước
296,Well this bill will actually make our country bankrupt because Us businesses' will become bankrupt from this Just the rich people can get words out easier,,13 năm trước
297,Is the bill still pending?,,11 năm trước
298,i could see movies and stuff but video games is just absurd,,12 năm trước
299,stupid and pointless bill to pass im in england but it is just a harsh thing to do what would the internet be without it? its for entertainment if this kind of thing keeps happening this will never stop untill everything is fucking illegal we are turning into robots and it needs to stop put a stop to this bill,,12 năm trước
300,uhhh i hope this isnt a global bill,,12 năm trước
301,this is bull! If anything the game industry is gaining money from the internet! the whole reason i bought minecraft was because of the yogscast the whole reason i bought Reddeadredemption is because of mahalo games! the whole reason i got my freaking PSe is because of machinima! This is bull! I swear if this happens the goverment will be getting so many stikes! Rise up against the bill!,,13 năm trước
302,Sadly i completely agree with this,,11 năm trước
303,I hope comany's realize that we will just go to foreign entertainment if they do this then they will get no money at all Guys we still have anime because its Japanese not american,,12 năm trước
304,sad enough this will probably get passed and it will even close down review companies and magazines such as IGN OXM PSM Game Informer etc we are supposed to be creating jobs while this will destroy a big amount of American jobs Even names that are copyrighted wont be able to be said! such as Modern Warfare 2 that name was copyrighted it won't even be able to be put in a magazine FFS!,,13 năm trước
305,@CafinatedGaming and what does that mean ?,,13 năm trước
306,Phil looks badass with that beard,,13 năm trước
307,@oaskid Youtube google etc and other companies are all located in the US so yes they would have to take your videos down too,,13 năm trước
308,So guys did the bill get passed? This I actually a serios thing,,13 năm trước
309,this is the stupidest bill ever made,,12 năm trước
310,3 Things i have to say 1 What the fuck does gaming do to the economy WE are the REASON why gaming is NOT DEAD 2 LEAVE US GAMERS ALONE 3 The censoring of the internet begins,,12 năm trước
311,is the bill still up,,13 năm trước
312,@MEGAtoasterl Indeed it is Your free to give you opinion Only problem is is that nobody will give a shit about what others think P,,12 năm trước
313,@Espionajj Youtube is based in the US and so are most game companies so it will affect us out of the US too,,13 năm trước
314,i love how he picks up his pse controller,,13 năm trước
315,@Xyrgra I'm sure the psn and xbl will continue to stream content as usual but yes hearing an unbiased review from another gamer is definitely a lot better than a magazine review But I wouldn't go as far as saying it will destroy the community structure of gaming Well lets hope it doesn't pass!,,13 năm trước
316,It was declined already,,13 năm trước
317,OH BTW they're even THINKING of shuting down facebook,,13 năm trước
318,A good game gain more Fanplayerbuyer just from the gameplays on youtube only a really bad games depend on trailers to trick players to buy their games,,13 năm trước
319,two words fair use that is all,,13 năm trước
320,is THE BILL Sgt8 orThe Protect IP Act S 968?,,12 năm trước
321,Dude this bill has nothing to do with fair use or even Machinima which is covered under parody law This is simply extending the current law we have in place and applying it to the Internet I'm *overjoyed* that more people will be being fined and put in prison for pirating the copyrighted works of others If you take all of the cut scenes from the latest batman game and stream them in your site without expressed journalistic or educational purposes you should be fined heavily If you do it,,12 năm trước
322,End of gaming ',,13 năm trước
323,is it world wide?,,12 năm trước
324,@SPECIALOPSSQUAD thepiratebay is still up isn't it,,12 năm trước
325,gaming is alot of what keeps the peace i mean WW2 would still be going on if it weren't for video games because japan wouldn't have enough money to keep people in houses and there would be another pearl harbor and i would of never of learned there was a WW2 if i didn't play call of duty,,13 năm trước
326,What about Red vs Blue?,,13 năm trước
327,@RaptorLlama The internet is not owned by America and is actually a european creation but YT is owned by Google which I think is American Correct me if I am wrong,,13 năm trước
328,I know they tag bs stuff like its also illegal to walk with a ice cream cone in ur back pocket in america im in alabama btw THUMBS UP SO HE CAN SEE PLEASE,,13 năm trước
329,I'm pretty sure Republicans made this bill,,12 năm trước
330,Thanks for the info man means alot s Hope it will go our way,,12 năm trước
331,fuuuuuuck this better not get passed in it's current form I love me some starcraft tournaments,,13 năm trước
332,my mom works for a mayor! I shall make sure this ends! D,,13 năm trước
333,does this affect canada,,12 năm trước
334,@jimllfaxit Pros no more justin Bieber Cons No more creative videos involving videos from moviesgames No cover songs even better versions of Justin Bieber's songs none of these game reviews game walkthroughs possibly no movies made with games like halo thus destryong creatvity again and also putting people down who don't have the kind of money to finance a Hollywood budget war movie like saving private ryan plus this means giving corporations more power on our lives,,12 năm trước
335,@evangelionmann I do not agree While it may cause some people to go out and buy them because it looks interesting it causes most to just freeload and watch them instead of paying for them I have seen COUNTLESS comments on various pages from people who say things like Hey thanks Phil for recording thisNow I dont have to go out and buy it XD and crap like that For every 1 person that goes out and buys the game 20 free load off of free to watch playthroughs,,13 năm trước
336,Also for example you record your friend playing tennis that would not be illegal since you can't actually download a tennis racket BUT what I fail to see is how you can download anything at all from a gameplay video ??? Sure a music track can be recorded and changed to MPe but really a video of a game Come on,,12 năm trước
337,If this does go though I am a little screwed for my Chats cause lets see i use music like real music Non that i made in a program congress if you pass this bill you are going ageist the Constitution,,13 năm trước
338,@LetsChillToday It's a collision of matter and antimatter!,,13 năm trước
339,Good it didn't pass but it may be put back up and forced back into the house,,11 năm trước
340,What about Zenga taking youtube video's off for copyright claims of people playing Facebook Games and putting accounts in a bad standing as a result I think that's stupid the games are FREE to play but banned to see a video of a free to play game? wtf?,,13 năm trước
341,Guys this bill passing might be good it can put Justin Bieber in jail for 5 years! No joke! THIS IS GREAT! Oh damn too bad I like commentaries,,12 năm trước
342,pff its like in the begining of machinima videos microsoft was against and started suing ppl around and they desided its actualy benefitial to them its free advertising plusppl will always find ways to transmit them p,,13 năm trước
343,@RaptorLlama game companies can and probably will add a special clause to the TOS specifically to allow posting videos of their games according to maker of minecraft Notch also i dont get why and how they dont like playthroughs etc and how do those playthroughs or even movie related commentaries etc makes a negative influence unless they dont want viewers to see that a movie is crap pro game vids andor fan vids are far far more effective than ads or any other medium this is just dumb tbh,,13 năm trước
344,when is it passing omg or did they forget about it? anwser,,13 năm trước
345,yeah i just looked up PROTECT IP BILL and its just as bad as sgt8,,12 năm trước
346,I'm all good as I live in the UK and it will not affect me,,12 năm trước
347,didn't want to play minecraft watch yogscast O MY GOD I NEED MINECRAFT,,12 năm trước
348,Actually no Machinima would stay up because they have permission to use most of the content The use of copyrighted characters in animations is a whole different monster Sooo cool story bro tell it again Ps The bill is still in the introduction phase,,11 năm trước
349,So if it's illegal and I upload a video of Black Ops would that make me a badass since I'd be breaking the law,,12 năm trước
350,Pass the bill 9 videos are left on joutube,,13 năm trước
351,this is only in USA?,,12 năm trước
352,No one will buy any game every without seeing it played on the internet YOUTUBE should be granted thousands of dollars for advertising FOR the companies as Infinity Ward they should BEG youtube and the users to put out videos We're doing them a BIG favour by showing off THEIR games Copyright my ass soon you won't be able to tell the content of a movie due to copyright this id ridiculous,,13 năm trước
353,Congress? I know how to reduce the debt ceiling stop wasting tax payers money making stupid bills like this one,,13 năm trước
354,@AssasinsBounty We shall call it the Undernet,,12 năm trước
355,This affects freedom of speech in the first amendment somehow so i know anonymous will do somethin about this hopefully,,13 năm trước
356,@LiveForDarknessaoa Some people are just hearing about this now And checking it's not over yet the bills status is Committee on the Judiciary Hearings held So it's still in play This is really a free speech issue in some ways This is a very bad law,,12 năm trước
357,This bill will put Rooster Teeth TeemNoble NextGenTacTics IGN and more business on YouTube that make their living doing what this is trying to stop and for what? So if you the gamer want to see the gameplay for a new game coming out do anything you can to stop this bill from passing !!,,13 năm trước
358,does bill Sgt8 affect people in canada? and i am against this bill it will affect the majority of gamers like me,,13 năm trước
359,So if someone uploads on youtube a video of norm macdonald on conan or a beatles song or a coolfunny scene from a movie he risks going to jail ?This isn't just bullshit for video games,,12 năm trước
360,@RadimirWackytov This effects us directly The other things may or may not effect us directly Personally I find them all as important issues many more important than this one even This is just another straw possibly the last one I'm pretty f'n sick of this bs,,13 năm trước
361,@xMyTechx Again if you have permission to use the copyrighted material it doesn't matter how much you make off of it Everyone on Machinima is forced to have permission from copyright holders to upload and most game companies support people making videos and lets plays of their games,,13 năm trước
362,What happened to the pursuit of happiness? freedom of speech?,,12 năm trước
363,DSP's most blown up vid DSP is the fuckin man,,13 năm trước
364,Wow Machinima is like the ath most subcribed youtube channel How many people will get mad? About 3 million people,,13 năm trước
365,I agree with this HallowoodDo not put this Watch this and LISTEN I understand about pirating But what IF someone pirates a game to just see if it works for their PC That makes senseThey would buy it if their pc will run fine This is why demos are made But look at FeAR There is no demo when this comment was made Thats all,,13 năm trước
366,How can the government trow someone in jail if they dont know were the guy lives lol,,13 năm trước
367,Sucks for the rest of the world considering YouTube is a US site,,13 năm trước
368,@crustylione2l you got that right after all actions speak louder than words,,13 năm trước
369,True that America doesn't own the internet But if you'll look at the statistics a large part of the fan base for any part of the entertainment industry ie movies or video games are based here in America and many streaming sites like Youtube are based in the US,,13 năm trước
370,this comment was removed due to copyright infringement,,13 năm trước
371,Only our government No wonder this country is in a crap shit The video Game industry and youtube CEOs better get on the ball You want to keep your business Stop this law,,13 năm trước
372,I am not looking forwards to this Not at ALL,,13 năm trước
373,lets look on the bright side if this happens Justin Bieber will go to jail,,13 năm trước
374,@mkaatr I'm sure it is since you are publicly displaying copyrighted material assumed wo permission,,12 năm trước
375,it shouldn't apply to videogames though as this actually may INCREASE the chances of someone buying the game for holywood movies it should apply but not videogames,,12 năm trước
376,@flyhiga True but video game trailers are often released by someone else Lie Machinma etc This Bill will take down probably more than half of YT and will hurt the sales and popularity of games movies tec I hope they realse this and don't sign the Bill,,13 năm trước
377,Too late it's been passed,,12 năm trước
378,@teckademicee ? What are you talking about? You realise this means anything game related will disappear? Let's Plays? Gone Video reviews? Gone Demos? Gone How exactly is that going to be in a gaming magazine? I didn't realise we already had digital magazines with video interfaces yetthere I was thinking that was just in scifi movies!,,13 năm trước
379,Stop Online Piracy Act Sgt8 bill is pass and youtube is not shut down yet,,12 năm trước
380,There's a difference between a bill and a law bro Learn your government,,12 năm trước
381,It's called Bill Fgt8,,13 năm trước
382,i dont think machinima will be taken down think like rooster teeth and stuff will be legal because Bungie and 343 Industries thank Rooster Teeth in the Reach credits,,12 năm trước
383,@superiraqey Guess what these companies are from the US,,12 năm trước
384,what happens when someone who is not in the united states posts a video?,,13 năm trước
385,they better not do that,,13 năm trước
386,this bill will never go though were it effect video games if even that,,13 năm trước
387,This Bill is such fucking bull shit i don't understand why they would think of this i mean like you said if someone uploads their own experience of playing a game they shouldn't have to be fined and sent to jail just for uploading a gaming experience he isn't like taking the software for the game Or even if they upload a Music video or a singalong for the YouTube community or any other community if you don't take credit or responsibility for a piece of music you shouldn't get put jail,,12 năm trước
388,So does this mean that the Angry Video Game Nerd has to shut down his videos? Also in Gaming Gavin what about Gavin's friend Austin? watch?vNaWztzVBNzofeaturerelated Since he is part of Gaming Gavin would he get consiquences too?,,13 năm trước
389,Does these bills go against the first amendment?,,12 năm trước
390,Whatever happened to Freedom of the Press and Freedom of Speech?,,12 năm trước
391,I think recording a game should be fine cuz if someone uploads a movie to youtube i can understand how they can lose money cuz most people wont by the movie if they can just watch it for free online but if i watch a gameplay video it wont make me not buy the game unless the game is bad which we have a right to know about I buy it to play it i wouldnt pay to watch a gameplay if that makes any sense,,12 năm trước
392,So Grand Ma learns how to use a camcorder upload videos on to Youtube showing the grand kids playing in the living room Oh but wait there's I Love Lucy playing on the TV in the background showing on the video Better send a swat team over there,,12 năm trước
393,I agree with this bill to be honest Just get the game yourself and play it Why watch stupid video game streaming from other players? Other than official game trailers and videos from the actual gaming company there's no need for any other video gaming vids from others Suck it up people,,12 năm trước
394,I'm gonna keep uploading video gaming vids cuz I am not making money from them Which is something heard you could get arested for cuz of this stupid bill!!,,13 năm trước
395,@Darinltg you are wrong sir playthroughs and footage of video games are actually if you think about it a form of free advertisement for the video game companies THINK about how many people watch these playthroughs and fotage and think wow that looks fun i should go buy that game do you agree?,,13 năm trước
396,Maybe it sounds like that to you because I am commenting on what I think is the legal state of the US Congress but not attempting to attack an individual US Senator No need for me Instead the US Congress would be shut down simply on the basis that its illegal and instead Americad establish or create a pro US Congress or something like that but itd have to be legal have to be operating in favor and not against the US,,11 năm trước
397,so much for freedom of the media,,13 năm trước
398,If its not passed yet why did you already take down all your vids? But I support u,,12 năm trước
399,wait so now I have to go to get off my ass pay or subscribe to a gaming magazine and actually read to get the latest on video game?,,13 năm trước
400,@keloidl2e Well it wont get them put in jail but they cant put videos on youtube anymore they will have to find a site that isnt US hosted,,13 năm trước
401,Thanks for the vid wow this is complete bs!!! i work for the video game industry and this not only hurts game sales but also development research there are numerous times i used youtube to find reference for animation and gameplay This hurts DEVS as well!,,12 năm trước
402,this bill is so stupid another reason for me to vote for ron paul,,13 năm trước
403,Interesting that vids about this bill get more views and comments than vids about the national debt crisis destruction of the currency the bills about food and GMO and Monsanto the number and contents of the executive orders of the last 10 years the resigning of the Patriot Act the meetings about the gov't taking over the trillions in IRAs and aolKs but hey gotta keep freedom of gaming and karaoke,,13 năm trước
404,i wont be able to find dubstepped versions of songs i like! why dont they just pass the law for marijuana to be legal make something that can actually help our economy for once,,13 năm trước
405,This is why I hate the newdifferent government of america No Racism intended,,12 năm trước
406,It'll also put an end to abridgers also like TEAMFOURSTAR CARDGAMESFTW ETC,,12 năm trước
407,I do agree with you 100 me personally I enjoy watching wow movies my god I wouldn't of been the raider I am today if I didn't get to watch the different videos on raiding Lets take this one step further now World of Warcraft which is a rather Raid Heavy place they favor raiders beyond all belief Without people posting tutorialsguides on boss kills they would of died in 40 we're hitting a new batch soon and this will kill wow as we know it today Good idea on the bill bad wording,,12 năm trước
408,Even of It does pass Machinima has licenses from game developers to feature and promote their games which isn't copyright because you have their permission This means Machinima and other license holders cant be affected but the regular guys like you and me with out permission will get screwed over,,13 năm trước
409,True good point,,11 năm trước
410,they cant do that first amendment,,13 năm trước
411,The last few games i bought i only got because i saw the play throughs Dsp is the reason why i bought DeadSpace 2,,13 năm trước
412,sometimes i think america is communist in a lot of ways,,13 năm trước
413,@santlagooo No but if there are websites from South America that have american television shows they'll get fined Also this site facebook twitter and many other sites would get shut down And if you even post the lyrics to a songthat's american as your status you could get fined for it even if you live in South America,,12 năm trước
414,you do a great job on here at YouTube with all the stuff you show you have earned my support and subb,,12 năm trước
415,@Etrajbe yeah that will proprobally happen if you cant show videogames people wont buy them so they lose money,,13 năm trước
416,@crustylione2l sadly it is stupid enough for congress to pass because lobbyists are probably paying congressmen to vote to pass this,,13 năm trước
417,@SimonMultiplayer It would impact YouTube worlwide since the company resides in the US,,13 năm trước
418,2 things My first thing is i still do not understand why ANYONE would try to stop anything on the internet because it is completely free and the idiots trying to pass this bill are idiots should not have been taken serious because this bill is dumb and stupid and dumb My second thing is is the all caps for DARKNESS there for a nocturne League of legends reference? if it isnt that will bug me for a little while looking at that,,12 năm trước
419,Bad enough that people need to put disclaimers on theyre videos but if this bill were to pass people would be referring to things like twitter and blogger to get information on video games yay,,13 năm trước
420,@vidgwatcher Because they get money whenever they shut down a video for copyright but still it will make them more money if they keep it up,,12 năm trước
421,yea good point Id support you!,,13 năm trước
422,I hate this bill,,13 năm trước
423,I NEED HELP! Can anyone give me statistics on how many people are going to be affected by this bill or how much money for example machinima makes or how many people upload videos of video games on youtube I am going to give a speech about this but i need statistics to prove my point,,12 năm trước
424,I hope,,12 năm trước
425,i live in Canada????????,,13 năm trước
426,Phil Hussein,,11 năm trước
427,@l2sSceptile Yeah someone who watches My Little Pony probably deserves to be in prison anyway,,13 năm trước
428,I'm asian WINNING!!!,,12 năm trước
429,@burgershotlo Haha Ikr his comment is awesome,,13 năm trước
430,Hope the new SOPA doesn't pass I love watching shtreams of video games,,11 năm trước
431,well now there is SOPA and PIPA,,12 năm trước
432,@napstere8s No because they can get permission from bungie andor 343,,12 năm trước
433,If this passes Welcome to China,,13 năm trước
434,the name of this bill does not amuse me,,12 năm trước
435,alot of gamer skinners will go down too i'm one of them,,12 năm trước
436,@LetsChillToday No this bill will do to the internet what obama did to America,,13 năm trước
437,I don't know who created this bill or what the F@@@ing reason Maybe they probably doing it for money for politicans But I have to say This is thee stupidest bill to be created by whomever People will be deaf about not knowing the next video games now or video of best friends and stuff like this I'm speechless!,,13 năm trước
438,@Eugenea2sl You can't be putted in Jail for something you've done before a law has been passed Therefore Bieber can't go to Jail for anything he's done before the law,,12 năm trước
439,well nice knowing you dude,,13 năm trước
440,@oneBadaSSdonut Uhm Is he copyright? No its for video games and tv programmes,,13 năm trước
441,This would mean the END of AVGN and TGWTG for example It IS serious! Or should I say Dead FUCKING serious,,12 năm trước
442,hmm EVERYWHERE no not everywhere only in united states Anyway this bill should not be allowed to go trough,,12 năm trước
443,Fair enough i can understand if filming companies and tv programming companies get annoyed because it is a hindrance to the sales of their product HOWEVER! for games i think it increases the likeliness of the product being sold i bought dead island after watching tobygames it boosts their sales as well as helping new gamers and it is a place for skilled players to show their talent I am from England but i do think that it is absurd though it doesn't directly relate to me fuckin stupid,,12 năm trước
444,Two things are different in this video than from his usual vids One of them is cool beard!,,12 năm trước
445,Best intro ever,,12 năm trước
446,This has been tried to be passed for several years and hasnt even come close Dont worry people,,13 năm trước
447,What about things like Movie Reviews????,,12 năm trước
448,wont affect europe,,13 năm trước
449,ga breaks this law,,12 năm trước
450,This bill makes scene with the movie and music part but with game play videos its just a video! I put up video game videos I don't put up videos about a free downloads of them looos of other people do the same! What the fuck happened to our government!,,13 năm trước
451,so justin beiber and rebeca black are most likley the reasons for this happening,,13 năm trước
452,has this dropped yet?,,12 năm trước
453,i feel we have met before you seem VERY familiar,,12 năm trước
454,So what are you in for? I stole a car so what did you do? I uploaded a match of Halo Reach Invasion,,13 năm trước
455,@Thespyglassgamer nope they made something called PIPA now and SOPA is coming back too,,12 năm trước
456,it wont pass just like the millions of bills in the past that haven't passed seriously don't worry about it it wont pass and EVEN IF it passes they wont be able to shut down all of the youtube channels,,13 năm trước
457,and that sucks how u going to know if the game is good? like u want to see if people like it,,13 năm trước
458,phil lost a shit ton of weight,,11 năm trước
459,@KIUBIXe Plus i reached the max out of that comment thousands of industries probably will shutdown Imagine if you want to promote that company that example makes videogames unless you get permission never you won't be able to talk even about it that law is going to affect business like hell It's going to be the darkest day of business Plus image MUSIC no music whatsoever on the internet Only on albums AND they will be alot less Think about this reply and post it on youtube and thumbsup,,13 năm trước
460,I dont wanna go to jail,,12 năm trước
461,@ozzypozzy I would assume so since it regards the internet which is world wide,,12 năm trước
462,You're probably 9 years old You're not looking at the big picture here Are you stealing from a video game if you're watching gameplay videos? No! Is infinity ward losing money if you watch COD commentary? No! In fact they're making money! So why should they pass the bill?,,12 năm trước
463,get rid of the download button and programs on all sites for copyrighted material bam problem solved no need to regulate the internet,,12 năm trước
464,DSP for the F***ing WIN !!,,12 năm trước
465,@janis2l2 but it will effect you even if you dont live in america,,12 năm trước
466,I see you still dont know how a camera works or how lighting affects improve the picture Derp,,3 năm trước
467,@NintendoVeteran8s video game playthrough video's are a good way to help video games sell and also reviews i look at game reviews sometimes so i won't waste money buying a bad game but youtube should lern to read the words I OWN NOTHING IN THIS CONTENT or anything that sounds like it then they should know we are not trying to steal the content but more like promoting it,,13 năm trước
468,@undeadwarriorlsg If Bill Sgt8 is made in the US it would only be a law in the US and nowhere else US is not the world anyway Youtube is american so all the gaming would have to be moved to another website though,,13 năm trước
469,But i look up videos of game play to see if a game is worth buying companies are going to lose money,,13 năm trước
470,@TheOfficialiRonTM But I heard Ron Paul wants to get rid of the Department of Energy,,12 năm trước
471,@MrDulzVoid the bill says that only americans cant stream videos or music online,,13 năm trước
472,let me tell you what I think this is about it might be about games etc but I think its the Exchange of Information that they Dont Want Us to See comprende?,,12 năm trước
473,they are talkin bout pirated movies and songs like uploaded movie and stop and yes you can still watch games and karoke you can cuz it's you and not pirated and games you have to buy it to play it unlike movies,,13 năm trước
474,@jaclegonetwork It effects everyone in the video game community,,13 năm trước
475,This also means videos of rides in RCTe or NoLimits will be taken down? SHIT!,,13 năm trước
476,@jaynoureddinla everything is privately owned meaning no government regulation which can lead to problems really capitalism is bad in certain situations not all,,13 năm trước
477,Machinima Why are you here? Freddiew I killed a cat You? Machinima I recorded a trailer of Battle Bad Company 3 Freddiew Here get my gun! Machinima Lets kill Obama!,,13 năm trước
478,Yup you made me buy lots of games,,13 năm trước
479,if this gets past im going to Russia,,12 năm trước
480,goddamnit phili already said FUCK IT to the congress,,13 năm trước
481,Think of Call of Duty Elite and the build in capture card in Black Ops they added it to build a online community where people can share video's So who is siding with this bill you ask ? The Movie and Music industry they are losing money because of piracy sites like The Pirate Bay But they can target them because copyright laws differ from country to country so they target us instead It's just the rich wanting more money and they will do whatever they can to get out hard earned cash !,,12 năm trước
482,this bull has a lot of BS,,12 năm trước
483,@Blacknights2g Uh what? Pokemon's still going strong the mainstream gamesBlackWhite DiamondPearl etc are multi million selling games You just got older that's all P Nowaday's Pokemon multiplayer is one of the most complex strategy games out there,,13 năm trước
484,I myself am not from America but I do know it will still affect me aswellsince I couldn't watch any gameplay videos from YouTube anymore This bill is PURELY made of GREED Those fuckin' actorsdirectorsother workers at Hollywood are driving around with Lamborghinis and fucking Ferraris and are now graving for MORE money _,,13 năm trước
485,@Blahlltandstuff they are not involved only supreme court and congress,,13 năm trước
486,If they cancel all vids it'll be the end of all of us NOOOOOO!!!!! *video canceled* Please try again never p,,12 năm trước
487,@NintendoVeteran8s the government does stupid shit all the time but i don't think they will go this far,,13 năm trước
488,I hate his shirt,,12 năm trước
489,@jaynoureddinla no one has any idea what would of happened if they were capitalist or any other government form so yes what you said could be true or it could be not no one knows,,13 năm trước
490,well if that happens youtube will probolly shut down cuz almost every single video on youtube is about video games,,13 năm trước
491,@jaynoureddinla communism had nothing to do with people dying stalin is the reason people died not communism,,13 năm trước
492,just put at the end of the e mail if you are granting me permission then dont answer this e mail,,13 năm trước
493,he looks like ethan mars in this video,,12 năm trước
494,i googled Sgt8 and this video show up D,,13 năm trước
495,@Seanr6to No it is actually other bill,,13 năm trước
496,So I won't be able to watch let's plays reviews or just funny game videos Can't watch someone cover a song with a guitar to help me learn it Or just look up music on youtube which usually have a links to amazon music anyway Which means I'm not going to buy as much stuff YUP MAKES PERFECT SENSE Now if you excuse me I'm going to cover myself in chocolate pudding and run around my block screaming about the spiders playing ping pong in my head,,12 năm trước
497,@RaptorLlama they probably could not arrest them but they could take the videos down,,13 năm trước
498,DSPGaming needs to do Minecraft 3,,12 năm trước
499,the bill is bs,,13 năm trước
500,dspgaming ign whiteboytthst vash and millions of others all gone just like that i cant believe it its bull that they would do this i do understand the music and movie issue but i understand about video games,,12 năm trước
501,What about Windows tutorials,,13 năm trước
502,shit if that passes that will suck,,13 năm trước
503,@MyPantsAreSomewhere sounds like a lot of people will be in jail,,12 năm trước
504,@SimonMultiplayer it will not only effects the us,,13 năm trước
505,I never listenen what he said? I was watching at the epic turtle at his left side,,12 năm trước
506,I found this thing called the english language You should try it sometime,,12 năm trước
507,This won't happen plus even if it did think of the insanely awesome trolls out there who would sneak videos pass and not get tracked or fined P,,13 năm trước
508,@Carzrocktt It doesnt matter They would still take it down because they dont own the game,,12 năm trước
509,and dont people do more disclaimer notices and give credit to the original peopleeither way this bill is freakin stupid,,13 năm trước
510,I spoke up I liked this vid I favorited this vid I subscribed to this uploader And I sent in a letter More people need to do this too at least send in the default letter Don't just sit back and assume others will do it for you because if everyone thought that way DARK AGES,,13 năm trước
